Data Source in SDW: http://sdw/browse.do?node=BASKET109379
,FM.B.U2.EUR.BL.EI.SX5E.HST,FM.B.U2.EUR.BL.VL.V2X.HST,FM.B.US.EUR.DS.EI.CBOEVIX_E0.HST,FM.B.US.USD.BL.VL.VIX.HST,FM.B.US.USD.DS.EI.CBOEVIX.HST,FM.B.US.USD.DS.EI.S_PCOMP.HST
,"Euro area (changing composition), Euro, Bloomberg, Equity/index, Dow Jones Euro Stoxx 50 EUR Price Index","Euro area (changing composition), Euro, Bloomberg, Volatility, Dow Jones EURO STOXX 50 Volatility Index VSTOXX","United States, Euro, DataStream, Equity/index, Chicago Board Of Exchange (CBOE) SPX Volatility VIX (new)","United States, US dollar, Bloomberg, Volatility, Chicago Board Options Exchange (CBOE) SPX Volatility Index","United States, US dollar, DataStream, Equity/index, Chicago Board Of Exchange (CBOE) SPX Volatility VIX (new)","United States, US dollar, DataStream, Equity/index, Standard and Poors 500 Composite Index"
Collection:,End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E)
Period\Unit:,[Points ],[Percent per annum ],[Points ],[Percent per annum ],[Points ],[Points ]
2020-03-10,,53.8031,,52.0000,,
2020-03-09,2959.0700,54.0993,47.6900,54.4600,54.4600,2746.5600
2020-03-06,3232.0700,43.0212,37.0800,41.9400,41.9400,2972.3700
2020-03-05,3363.5800,33.1404,35.4100,39.6200,39.6200,3023.9400
2020-03-04,3420.5600,29.7565,28.7100,31.9900,31.9900,3130.1200
2020-03-03,3371.9700,33.4532,32.9400,36.8200,36.8200,3003.3700
2020-03-02,3338.8300,36.1186,30.0200,33.4200,33.4200,3090.2300
2020-02-28,3329.4900,42.2369,36.5200,40.1100,40.1100,2954.2200
2020-02-27,3455.9200,34.6989,35.6500,39.1600,39.1600,2978.7600
2020-02-26,3577.6800,24.5403,25.3700,27.5600,27.5600,3116.3900
2020-02-25,3572.5100,27.4449,25.6300,27.8500,27.8500,3128.2100
2020-02-24,3647.9800,22.6584,23.0600,25.0300,25.0300,3225.8900
2020-02-21,3800.3800,15.7536,15.7400,17.0800,17.0800,3337.7500
2020-02-20,3822.9800,14.0900,14.4000,15.5600,15.5600,3373.2300
2020-02-19,3865.1800,12.8829,13.3200,14.3800,14.3800,3386.1500
2020-02-18,3836.5400,13.8431,13.7000,14.8300,14.8300,3370.2900
2020-02-17,3853.2700,12.9654,,,,
2020-02-14,3840.9700,13.0625,12.6100,13.6800,13.6800,3380.1600
2020-02-13,3846.7400,13.2476,13.0400,14.1500,14.1500,3373.9400
2020-02-12,3854.4300,12.4526,12.6100,13.7400,13.7400,3379.4500
2020-02-11,3825.8400,12.9201,13.9100,15.1800,15.1800,3357.7500
2020-02-10,3793.1800,13.7034,13.7700,15.0400,15.0400,3352.0900
2020-02-07,3798.4900,13.3241,14.1100,15.4700,15.4700,3327.7100
2020-02-06,3805.5200,12.9889,13.6300,14.9600,14.9600,3345.7800
2020-02-05,3777.8400,13.6052,13.7700,15.1500,15.1500,3334.6900
2020-02-04,3732.2800,14.4971,14.5400,16.0500,16.0500,3297.5900
2020-02-03,3661.2700,16.2837,16.2500,17.9700,17.9700,3248.9200
2020-01-31,3640.9100,17.1542,17.0000,18.8400,18.8400,3225.5200
2020-01-30,3690.7800,16.4174,14.0400,15.4900,15.4900,3283.6600
2020-01-29,3736.3600,14.4199,14.9000,16.3900,16.3900,3273.4000
2020-01-28,3719.2200,15.1979,14.8000,16.2800,16.2800,3276.2400
2020-01-27,3677.8400,17.1711,16.5500,18.2300,18.2300,3243.6300
2020-01-24,3779.1600,12.6665,13.2100,14.5600,14.5600,3295.4700
2020-01-23,3736.8500,13.1640,11.7500,12.9800,12.9800,3325.5400
2020-01-22,3769.7900,12.2389,11.6600,12.9100,12.9100,3321.7500
2020-01-21,3789.1200,11.8141,11.5800,12.8500,12.8500,3320.7900
2020-01-20,3799.0300,11.2522,,,,
2020-01-17,3808.2600,10.6899,10.9100,12.1000,12.1000,3329.6200
2020-01-16,3774.1400,11.0223,11.0600,12.3200,12.3200,3316.8100
2020-01-15,3768.9600,12.0408,11.1400,12.4200,12.4200,3289.2900
2020-01-14,3774.8800,12.4099,11.1400,12.3900,12.3900,3283.1500
2020-01-13,3779.6800,12.7138,11.0700,12.3200,12.3200,3288.1300
2020-01-10,3789.5200,12.3886,11.3000,12.5600,12.5600,3265.3500
2020-01-09,3795.8800,13.0363,11.2900,12.5400,12.5400,3274.7000
2020-01-08,3772.5600,14.0401,12.1000,13.4500,13.4500,3253.0500
2020-01-07,3759.2500,14.2117,12.3800,13.7900,13.7900,3237.1800
2020-01-06,3752.5200,15.1404,12.3800,13.8500,13.8500,3246.2800
2020-01-03,3773.3700,13.9588,12.5600,14.0200,14.0200,3234.8500
2020-01-02,3793.2400,12.6736,11.1300,12.4700,12.4700,3257.8500
2019-12-31,3745.1500,,12.2800,13.7800,13.7800,3230.7800
2019-12-30,3748.4700,13.9548,13.2300,14.8200,14.8200,3221.2900
2019-12-27,3782.2700,12.0913,12.0300,13.4300,13.4300,3240.0200
2019-12-26,,,11.4000,12.6500,12.6500,3239.9100
2019-12-24,3774.3900,,11.4200,12.6700,12.6700,3223.3800
2019-12-23,3776.6600,11.6482,11.3700,12.6100,12.6100,3224.0100
2019-12-20,3776.5600,11.0774,11.2900,12.5100,12.5100,3221.2200
2019-12-19,3739.1700,12.1761,11.2400,12.5000,12.5000,3205.3700
2019-12-18,3739.0000,11.8244,11.3100,12.5800,12.5800,3191.1400
2019-12-17,3745.2800,12.1489,11.0200,12.2900,12.2900,3192.5200
2019-12-16,3772.7400,11.6440,10.9000,12.1400,12.1400,3191.4500
2019-12-13,3731.0700,13.1174,11.3400,13.7200,12.6300,3168.8000
2019-12-12,3706.3500,14.6631,12.5400,13.9400,13.9400,3168.5700
2019-12-11,3687.4500,15.2345,13.5200,14.9900,14.9900,3141.6300
2019-12-10,3671.7800,15.0220,14.1400,15.6800,15.6800,3132.5200
2019-12-09,3672.1800,14.9246,14.3300,15.8600,15.8600,3135.9600
2019-12-06,3692.3400,14.1327,12.3300,13.6200,13.6200,3145.9100
2019-12-05,3648.1300,15.3707,13.0900,14.5200,14.5200,3117.4300
2019-12-04,3660.0200,15.2237,13.3500,14.8000,14.8000,3112.7600
2019-12-03,3610.9900,16.9096,14.4000,15.9600,15.9600,3093.2000
2019-12-02,3626.6600,15.8889,13.4700,14.9100,14.9100,3113.8700
2019-11-29,3703.5800,13.1740,11.4500,12.6200,12.6200,3140.9800
2019-11-28,3704.4800,12.7959,,,,
2019-11-27,3712.8500,12.2032,10.6800,11.7500,11.7500,3153.6300
2019-11-26,3705.5500,12.0954,10.4800,11.5400,11.5400,3140.5200
2019-11-25,3707.6800,12.3837,10.7800,11.8700,11.8700,3133.6400
2019-11-22,3687.3200,13.0888,11.1800,12.3400,12.3400,3110.2900
2019-11-21,3679.6600,13.1317,11.8500,13.1300,13.1300,3103.5400
2019-11-20,3683.8800,12.7274,11.5500,12.7800,12.7800,3108.4600
2019-11-19,3696.5600,12.3699,11.6100,12.8600,12.8600,3120.1800
2019-11-18,3704.9200,12.0372,11.2400,12.6800,12.4600,3122.0300
2019-11-15,3711.6100,11.5370,10.9000,12.0500,12.0500,3120.4600
2019-11-14,3688.8100,12.4735,11.8600,13.0500,13.0500,3096.6300
2019-11-13,3699.5000,12.7955,11.8100,13.0000,13.0000,3094.0400
2019-11-12,3712.2000,12.6338,11.5100,12.6800,12.6800,3091.8400
2019-11-11,3696.8200,13.0887,11.5000,12.6900,12.6900,3087.0100
2019-11-08,3699.6500,12.8514,10.9500,12.0700,12.0700,3093.0800
2019-11-07,3706.6800,12.7542,11.5300,12.7300,12.7300,3085.1800
2019-11-06,3688.7400,12.9335,11.4000,12.6200,12.6200,3076.7800
2019-11-05,3676.5200,12.9226,11.8300,13.1000,13.1000,3074.6200
2019-11-04,3665.2100,12.9047,11.5000,12.8300,12.8300,3078.2700
2019-11-01,3623.7400,12.8444,11.0100,12.3000,12.3000,3066.9100
2019-10-31,3604.4100,13.7919,11.8500,13.2200,13.2200,3037.5600
2019-10-30,3620.2900,13.7963,11.0900,12.3300,12.3300,3046.7700
2019-10-29,3622.0900,13.7262,11.8800,13.2000,13.2000,3036.8900
2019-10-28,3625.6900,13.2006,11.8200,13.1100,13.1100,3039.4200
2019-10-25,3624.6800,12.8208,11.4100,12.6500,12.6500,3022.5500
2019-10-24,3621.3700,13.0918,12.3500,13.7100,13.7100,3010.2900
2019-10-23,3606.8900,13.4557,12.6000,14.0100,14.0100,3004.5200
2019-10-22,3604.8200,14.1743,12.9900,14.4600,14.4600,2995.9900
2019-10-21,3600.0800,14.7438,12.5600,14.0000,14.0000,3006.7200
2019-10-18,3579.4100,15.3746,12.7900,14.2500,14.2500,2986.2000
2019-10-17,3588.6200,14.9276,12.4100,13.7900,13.7900,2997.9500
2019-10-16,3599.2500,14.7600,12.3800,13.6800,13.6800,2989.6900
2019-10-15,3598.6500,14.4716,12.2700,13.5400,13.5400,2995.6800
2019-10-14,3556.2600,15.9171,13.2100,14.5700,14.5700,2966.1500
2019-10-11,3569.9200,15.8911,14.1200,15.5800,15.5800,2970.2700
2019-10-10,3493.9600,17.4180,15.9500,17.5700,17.5700,2938.1300
2019-10-09,3462.1100,18.3918,16.9800,18.6400,18.6400,2919.4000
2019-10-08,3432.7600,19.2294,18.5100,20.2800,20.2800,2893.0600
2019-10-07,3471.2400,17.8560,16.2400,17.8600,17.8600,2938.7900
2019-10-04,3446.7100,18.5245,15.5200,17.0400,17.0400,2952.0100
2019-10-03,3417.3700,20.5011,17.4100,19.1200,19.1200,2910.6300
2019-10-02,3413.3100,21.0071,18.7800,20.5600,20.5600,2887.6100
2019-10-01,3518.2500,17.2600,17.0000,18.5600,18.5600,2940.2500
2019-09-30,3569.4500,15.8282,14.9000,16.2400,16.2400,2976.7400
2019-09-27,3545.8800,15.8826,15.7300,17.2200,17.2200,2961.7900
2019-09-26,3532.1800,16.5870,14.6900,16.0700,16.0700,2977.6200
2019-09-25,3513.0300,17.2313,14.5600,15.9600,15.9600,2984.8700
2019-09-24,3532.0500,15.9723,15.5000,17.0500,17.0500,2966.6000
2019-09-23,3536.9700,15.5783,13.5600,14.9100,14.9100,2991.7800
2019-09-20,3571.3900,13.9744,13.9100,15.3200,15.3200,2992.0700
2019-09-19,3552.6500,14.5010,12.7100,14.0500,14.0500,3006.7900
2019-09-18,3528.0400,15.2097,12.6100,13.9500,13.9500,3006.7300
2019-09-17,3521.2600,15.5502,13.0700,14.4400,14.4400,3005.7000
2019-09-16,3518.4500,15.2467,13.3400,14.6700,14.6700,2997.9600
2019-09-13,3550.1100,13.7364,12.4000,13.7400,13.7400,3007.3900
2019-09-12,3538.8600,14.4138,12.8900,14.2200,14.2200,3009.5700
2019-09-11,3516.8200,15.4354,13.2900,14.6100,14.6100,3000.9300
2019-09-10,3498.9900,15.2574,13.7700,15.2000,15.2000,2979.3900
2019-09-09,3495.0200,14.9418,13.8100,15.2700,15.2700,2978.4300
2019-09-06,3495.1900,14.6313,13.5800,15.0000,15.0000,2978.7100
2019-09-05,3484.7000,15.5052,14.7300,16.2700,16.2700,2976.0000
2019-09-04,3450.8300,16.5794,15.7100,17.3300,17.3300,2937.7800
2019-09-03,3420.7400,18.2403,17.9300,19.6600,19.6600,2906.2700
2019-09-02,3432.5400,17.5382,,,,
2019-08-30,3426.7600,17.6681,17.2400,18.9800,18.9800,2926.4600
2019-08-29,3411.3300,17.6010,16.1600,17.8800,17.8800,2924.5800
2019-08-28,3365.3800,19.3267,17.4700,19.3500,19.3500,2887.9400
2019-08-27,3370.4700,19.4399,18.3000,19.8300,20.3100,2869.1600
2019-08-26,3348.8400,20.2502,17.3800,20.5800,19.3200,2878.3800
2019-08-23,3334.2500,20.1473,17.8900,19.8700,19.8700,2847.1100
2019-08-22,3373.6700,18.2332,15.0500,16.6800,16.6800,2922.9500
2019-08-21,3394.8900,16.7721,14.2400,15.8000,15.8000,2924.4300
2019-08-20,3350.2300,18.4289,15.7800,17.5000,17.5000,2900.5100
2019-08-19,3369.1900,18.2556,15.2100,16.8800,16.8800,2923.6500
2019-08-16,3329.0800,20.3841,16.6300,18.4700,18.4700,2888.6800
2019-08-15,3282.7800,22.5419,19.0700,21.1800,21.1800,2847.6000
2019-08-14,3288.7000,22.0616,19.8200,22.1000,22.1000,2840.6000
2019-08-13,3357.1600,18.6224,15.6600,17.5200,17.5200,2926.3200
2019-08-12,3326.5500,19.2544,18.8000,19.4700,21.0900,2883.7500
2019-08-09,3333.7400,18.9533,16.0400,17.9700,17.9700,2918.6500
2019-08-08,3375.3800,18.0037,15.1000,16.9100,16.9100,2938.0900
2019-08-07,3309.9900,21.0390,17.3800,19.4900,19.4900,2883.9800
2019-08-06,3291.6600,21.3783,18.0300,20.1700,20.1700,2881.7700
2019-08-05,3310.9300,21.0618,21.9800,24.5900,24.5900,2844.7400
2019-08-02,3376.1200,18.3481,15.8600,17.6100,17.6100,2932.0500
2019-08-01,3490.0300,13.7348,16.1600,17.8700,17.8700,2953.5600
2019-07-31,3466.8500,14.3909,14.4800,16.1200,16.1200,2980.3800
2019-07-30,3462.8500,14.4662,12.5100,13.9400,13.9400,3013.1800
2019-07-29,3523.5800,12.6386,11.5300,12.8300,12.8300,3020.9700
2019-07-26,3524.4700,12.6690,10.9300,12.1600,12.1600,3025.8600
2019-07-25,3510.1500,13.2666,11.4200,12.7400,12.7400,3003.6700
2019-07-24,3532.9000,13.1227,10.8300,12.0700,12.0700,3019.5600
2019-07-23,3532.8700,12.7137,11.3100,12.6100,12.6100,3005.4700
2019-07-22,3489.9200,13.5495,12.0600,13.5300,13.5300,2985.0300
2019-07-19,3480.1800,13.6973,12.8800,14.4500,14.4500,2976.6100
2019-07-18,3482.8300,13.3320,12.0600,13.5300,13.5300,2995.1100
2019-07-17,3501.5800,12.6034,12.4400,13.9700,13.9700,2984.4200
2019-07-16,3521.3600,12.1592,11.4600,12.8600,12.8600,3004.0400
2019-07-15,3502.2200,12.6064,11.2600,12.6800,12.6800,3014.3000
2019-07-12,3497.6300,12.3888,11.0100,12.3900,12.3900,3013.7700
2019-07-11,3496.7300,12.4747,11.4900,12.9300,12.9300,2999.9100
2019-07-10,3501.5200,12.8191,11.5800,13.0300,13.0300,2993.0700
2019-07-09,3509.7500,12.7504,12.5700,14.0900,14.0900,2979.6300
2019-07-08,3523.7600,12.6160,12.4500,13.9600,13.9600,2975.9500
2019-07-05,3527.9800,12.4185,11.8300,13.2800,13.2800,2990.4100
2019-07-04,3544.1500,11.7651,,,,
2019-07-03,3540.6300,11.7045,11.1400,12.5700,12.5700,2995.8200
2019-07-02,3507.9800,11.8371,11.4500,12.9300,12.9300,2973.0100
2019-07-01,3497.5900,12.3830,12.4200,14.0600,14.0600,2964.3300
2019-06-28,3473.6900,13.7342,13.2400,15.0800,15.0800,2941.7600
2019-06-27,3442.3800,14.1174,13.9200,15.8200,15.8200,2924.9200
2019-06-26,3442.9500,14.0634,14.2500,16.2100,16.2100,2913.7800
2019-06-25,3444.3600,13.9815,14.3000,16.2800,16.2800,2917.3800
2019-06-24,3455.5700,13.9669,13.4000,15.2600,15.2600,2945.3500
2019-06-21,3466.9200,13.3894,13.6000,15.4000,15.4000,2950.4600
2019-06-20,3468.0800,13.3474,13.0600,14.7500,14.7500,2954.1800
2019-06-19,3454.7000,13.6604,12.7800,14.3300,14.3300,2926.4600
2019-06-18,3452.8900,13.2695,13.5400,15.1500,15.1500,2917.7500
2019-06-17,3383.2100,14.0293,13.6700,15.3500,15.3500,2889.6700
2019-06-14,3379.1900,14.3629,13.6100,15.2800,15.2800,2886.9800
2019-06-13,3390.5000,14.3656,14.0300,15.8200,15.8200,2891.6400
2019-06-12,3386.6300,14.9450,14.0500,15.9100,15.9100,2879.8400
2019-06-11,3401.1000,14.7960,14.1300,15.9900,15.9900,2885.7200
2019-06-10,3386.4500,14.8913,14.0900,15.9400,15.9400,2886.7300
2019-06-07,3378.3800,14.9085,14.3800,16.3000,16.3000,2873.3400
2019-06-06,3338.4100,15.6299,14.1200,15.9300,15.9300,2843.4900
2019-06-05,3339.9500,16.1034,14.2900,16.0900,16.0900,2826.1500
2019-06-04,3333.4900,16.4200,15.1100,16.9700,16.9700,2803.2700
2019-06-03,3300.2200,17.2417,16.8400,18.8600,18.8600,2744.4500
2019-05-31,3280.4300,17.4218,16.7900,18.7100,18.7100,2752.0600
2019-05-30,3318.1500,16.7607,15.5500,17.3000,17.3000,2788.8600
2019-05-29,3297.8100,17.7806,16.0600,17.9000,17.9000,2783.0200
2019-05-28,3348.8600,16.1658,15.6600,17.5000,17.5000,2802.3900
2019-05-27,3364.0400,16.2373,,,,
2019-05-24,3350.7000,16.7146,14.1500,15.8500,15.8500,2826.0600
2019-05-23,3327.2000,17.6370,15.1700,16.9200,16.9200,2822.2400
2019-05-22,3386.7200,15.4494,13.2200,14.7500,14.7500,2856.2700
2019-05-21,3386.5100,15.8302,13.3700,14.9500,14.9500,2864.3600
2019-05-20,3369.7800,17.3812,14.6100,16.3100,16.3100,2840.2300
2019-05-17,3425.6400,14.9769,14.3000,15.9600,15.9600,2859.5300
2019-05-16,3438.5600,15.0605,13.6800,15.2900,15.2900,2876.3200
2019-05-15,3385.7800,16.7467,14.6700,16.4400,16.4400,2850.9600
2019-05-14,3364.3800,17.5609,16.1100,18.0600,18.0600,2834.4100
2019-05-13,3320.7800,19.4264,18.2800,20.5500,20.5500,2811.8700
2019-05-10,3361.0500,18.5073,14.2700,16.0400,16.0400,2881.4000
2019-05-09,3350.7100,20.0378,17.0100,19.1000,19.1000,2870.7200
2019-05-08,3417.2600,17.6428,17.3200,19.4000,19.4000,2879.4200
2019-05-07,3401.1600,18.0429,17.2700,19.3200,19.3200,2884.0500
2019-05-06,3462.9500,15.7375,13.7900,15.4400,15.4400,2932.4700
2019-05-03,3502.4800,13.3808,11.5000,12.8700,12.8700,2945.6400
2019-05-02,3488.9300,14.3357,12.8900,14.4200,14.4200,2917.5200
2019-05-01,3514.6200,,13.1700,14.8000,14.8000,2923.7300
2019-04-30,3514.6200,13.2624,11.7100,13.1200,13.1200,2945.8300
2019-04-29,3501.9400,13.0278,11.7400,13.1100,13.1100,2943.0300
2019-04-26,3500.4100,12.6034,11.4000,12.7300,12.7300,2939.8800
2019-04-25,3491.9200,12.9572,11.8900,13.2500,13.2500,2926.1700
2019-04-24,3502.6300,12.5447,11.7300,13.1400,13.1400,2927.2500
2019-04-23,3503.8500,12.2040,10.9600,12.2800,12.2800,2933.6800
2019-04-22,,,11.0400,12.4200,12.4200,2907.9700
2019-04-18,3499.2300,11.0066,10.7500,12.0900,12.0900,2905.0300
2019-04-17,3477.7300,11.2672,11.1500,12.6000,12.6000,2900.4500
2019-04-16,3463.3600,11.3012,10.7800,12.1800,12.1800,2907.0600
2019-04-15,3450.4600,11.4864,10.8900,12.3200,12.3200,2905.5800
2019-04-12,3447.8300,11.8770,10.6200,12.0100,12.0100,2907.4100
2019-04-11,3435.3400,12.5950,11.5500,13.0200,13.0200,2888.3200
2019-04-10,3424.6500,14.2810,11.8200,13.3000,13.3000,2888.2100
2019-04-09,3417.2200,14.5187,12.6700,14.2800,14.2800,2878.2000
2019-04-08,3438.0600,14.6030,11.7000,13.1800,13.1800,2895.7700
2019-04-05,3447.4700,13.5520,11.4200,12.8200,12.8200,2892.7400
2019-04-04,3441.9300,14.2468,12.1100,13.5800,13.5800,2879.3900
2019-04-03,3435.5600,14.1923,12.2400,13.7400,13.7400,2873.4000
2019-04-02,3395.7000,14.7848,11.9400,13.3600,13.3600,2867.2400
2019-04-01,3385.3800,14.7903,11.9400,13.4000,13.4000,2867.1900
2019-03-29,3351.7100,15.2748,12.2100,13.7100,13.7100,2834.4000
2019-03-28,3320.2900,16.6715,12.8400,14.4300,14.4300,2815.4400
2019-03-27,3322.0400,16.3337,13.4600,15.1500,15.1500,2805.3700
2019-03-26,3319.5300,15.8457,13.0100,14.6800,14.6800,2818.4600
2019-03-25,3300.4800,17.3356,14.4200,16.3300,16.3300,2798.3600
2019-03-22,3305.7300,17.6785,14.6100,16.4800,16.4800,2800.7100
2019-03-21,3367.4000,15.6876,12.0000,13.6300,13.6300,2854.8800
2019-03-20,3372.3800,14.4778,12.2500,13.9100,13.9100,2824.2300
2019-03-19,3409.0000,13.0007,11.9500,13.5600,13.5600,2832.5700
2019-03-18,3387.9400,13.2122,11.5500,13.1000,13.1000,2832.9400
2019-03-15,3386.0800,12.9242,11.3700,12.8800,12.8800,2822.4800
2019-03-14,3342.0300,13.6478,11.9400,13.5000,13.5000,2808.4800
2019-03-13,3323.4500,13.9503,11.8600,13.4100,13.4100,2810.9200
2019-03-12,3303.9500,13.8356,12.2100,13.7700,13.7700,2791.5200
2019-03-11,3304.4400,14.1546,12.7700,14.3300,14.3300,2783.3000
2019-03-08,3283.6000,14.4110,14.2900,16.0500,16.0500,2743.0700
2019-03-07,3308.8500,13.8671,14.7700,16.5900,16.5900,2748.9300
2019-03-06,3324.6700,13.4409,13.9100,15.7400,15.7400,2771.4500
2019-03-05,3327.1900,13.5075,13.0400,14.7400,14.7400,2789.6500
2019-03-04,3317.1200,13.6499,12.9200,14.6300,14.6300,2792.8100
2019-03-01,3312.1000,13.3709,11.9200,13.5700,13.5700,2803.6900
2019-02-28,3298.2600,13.5876,12.9800,14.7800,14.7800,2784.4900
2019-02-27,3282.7700,14.3497,12.9100,14.7000,14.7000,2792.3800
2019-02-26,3289.3200,13.8942,13.3600,15.1700,15.1700,2793.9000
2019-02-25,3280.0100,13.8464,13.0900,14.8500,14.8500,2796.1100
2019-02-22,3270.5500,13.9767,11.9100,13.5100,13.5100,2792.6700
2019-02-21,3263.7000,14.3444,12.7400,14.4600,14.4600,2774.8800
2019-02-20,3259.4900,14.2742,12.3500,14.0200,14.0200,2784.7000
2019-02-19,3239.4100,14.6143,13.1300,14.8800,14.8800,2779.7600
2019-02-18,3244.7900,14.5378,,,,
2019-02-15,3241.2500,14.2944,13.2400,14.9100,14.9100,2775.6000
2019-02-14,3182.6600,15.7570,14.3900,16.2200,16.2200,2745.7300
2019-02-13,3202.3700,13.9695,13.8600,15.6500,15.6500,2753.0300
2019-02-12,3190.7500,14.2814,13.6600,15.4300,15.4300,2744.7300
2019-02-11,3165.6100,15.2186,14.1600,15.9700,15.9700,2709.8000
2019-02-08,3135.6200,16.3132,13.8800,15.7200,15.7200,2707.8800
2019-02-07,3150.7600,16.1706,14.4200,16.3700,16.3700,2706.0500
2019-02-06,3212.7500,13.6160,13.5200,15.3800,15.3800,2731.6100
2019-02-05,3215.0400,13.5808,13.6500,15.5700,15.5700,2737.7000
2019-02-04,3165.2000,14.2075,13.7600,15.7300,15.7300,2724.8700
2019-02-01,3171.1200,13.9879,14.0700,16.1400,16.1400,2706.5300
2019-01-31,3159.4300,15.1126,14.4400,16.5700,16.5700,2704.1000
2019-01-30,3161.7400,16.0154,15.4600,17.6600,17.6600,2681.0500
2019-01-29,3153.4200,16.0456,16.7600,19.1300,19.1300,2640.0000
2019-01-28,3137.2700,16.1551,16.5000,18.8700,18.8700,2643.8500
2019-01-25,3163.2400,14.7823,15.2800,17.4200,17.4200,2664.7600
2019-01-24,3126.3100,15.5603,16.6400,18.8900,18.8900,2642.3300
2019-01-23,3112.1300,16.4792,17.1500,19.5200,19.5200,2638.7000
2019-01-22,3112.8000,15.9971,18.3200,20.8000,20.8000,2632.9000
2019-01-21,3125.0700,15.3850,,,,
2019-01-18,3134.9200,14.2800,15.6600,17.8000,17.8000,2670.7100
2019-01-17,3069.3500,15.4064,15.8700,18.0600,18.0600,2635.9600
2019-01-16,3077.2200,15.7177,16.7100,19.0400,19.0400,2616.1000
2019-01-15,3068.0500,16.9334,16.2700,18.6000,18.6000,2610.3000
2019-01-14,3055.1800,17.8987,16.6300,19.0700,19.0700,2582.6100
2019-01-11,3070.0400,17.4182,15.8500,18.1900,18.1900,2596.2600
2019-01-10,3075.7300,18.6879,16.9200,19.5000,19.5000,2596.6400
2019-01-09,3070.2400,18.9970,17.3600,19.9800,19.9800,2584.9600
2019-01-08,3054.9400,19.4803,17.8900,20.4700,20.4700,2574.4100
2019-01-07,3033.6400,20.1510,18.6700,21.4000,21.4000,2549.6900
2019-01-04,3041.8500,20.4827,18.7400,21.3800,21.3800,2531.9400
2019-01-03,2954.6600,22.9978,22.3400,25.4500,25.4500,2447.8900
2019-01-02,2993.1800,23.3924,20.4500,23.2200,23.2200,2510.0300
2018-12-31,,,22.2400,,25.4200,2506.8500
2018-12-28,2986.5300,23.8643,24.7800,28.3400,28.3400,2485.7400
2018-12-27,2937.3600,25.6882,26.2700,29.9600,29.9600,2488.8300
2018-12-26,,,26.6600,30.4100,30.4100,2467.7000
2018-12-24,2973.7800,,31.6000,36.0700,36.0700,2351.1000
2018-12-21,3000.6100,20.3984,26.3800,30.1100,30.1100,2416.6200
2018-12-20,3000.0600,20.7330,24.8600,28.3800,28.3800,2467.4200
2018-12-19,3051.3800,19.6024,22.4000,25.5800,25.5800,2506.9600
2018-12-18,3040.1300,20.0366,22.5100,25.5800,25.5800,2546.1600
2018-12-17,3063.6500,19.8187,21.6300,24.5200,24.5200,2545.9400
2018-12-14,3092.6000,19.1643,19.1500,21.6300,21.6300,2599.9500
2018-12-13,3112.1700,19.1773,18.2000,20.6500,20.6500,2650.5400
2018-12-12,3107.9700,19.7254,18.8800,21.4600,21.4600,2651.0700
2018-12-11,3055.3200,21.0925,19.2100,21.7600,21.7600,2636.7800
2018-12-10,3016.9900,23.6592,19.9000,22.6400,22.6400,2637.7200
2018-12-07,3058.5300,21.6688,20.3900,23.2300,23.2300,2633.0800
2018-12-06,3045.9400,24.6155,18.6200,21.1900,21.1900,2695.9500
2018-12-05,3150.2700,19.0904,,,,
2018-12-04,3189.2500,17.2085,18.2700,20.7400,20.7400,2700.0600
2018-12-03,3214.9900,16.9152,14.4900,16.4400,16.4400,2790.3700
2018-11-30,3173.1300,18.4935,15.9600,18.0700,18.0700,2760.1700
2018-11-29,3174.1600,18.6100,16.5000,18.7900,18.7900,2737.7600
2018-11-28,3168.2900,18.5952,16.4000,18.4900,18.4900,2743.7900
2018-11-27,3166.4200,18.4790,16.8500,19.0200,19.0200,2682.1700
2018-11-26,3172.7100,18.4228,16.6700,18.9000,18.9000,2673.4500
2018-11-23,3137.2100,18.9738,18.9700,21.5200,21.5200,2632.5600
2018-11-22,3126.6700,19.2881,,,,
2018-11-21,3153.9100,18.2397,18.2500,20.8000,20.8000,2649.9300
2018-11-20,3116.0700,19.9622,19.7000,22.4800,22.4800,2641.8900
2018-11-19,3160.3300,18.0320,17.5500,20.1000,20.1000,2690.7300
2018-11-16,3180.7400,18.0762,15.9200,18.1400,18.1400,2736.2700
2018-11-15,3190.3100,20.1522,17.6500,19.9800,19.9800,2730.2000
2018-11-14,3205.3600,18.4549,18.7900,21.1500,21.2500,2701.5800
2018-11-13,3224.8200,17.0290,17.7500,20.0200,20.0200,2722.1800
2018-11-12,3194.0800,17.8587,18.1800,20.4500,20.4500,2726.2200
2018-11-09,3229.4900,16.3773,15.2900,17.3600,17.3600,2781.0100
2018-11-08,3237.6000,15.8810,14.6300,16.7200,16.7200,2806.8300
2018-11-07,3246.1600,16.4264,14.2600,16.3600,16.3600,2813.8900
2018-11-06,3207.4200,18.1091,17.4400,19.9100,19.9100,2755.4500
2018-11-05,3217.3700,18.3296,17.5100,19.9600,19.9600,2738.3100
2018-11-02,3214.4100,18.8480,17.1500,19.5100,19.5100,2723.0600
2018-11-01,3204.2100,18.9950,16.9700,19.3400,19.3400,2740.3700
2018-10-31,3197.5100,20.3038,18.7400,21.2300,21.2300,2711.7400
