dates,vSP500,sp500star,eu0w,eu010,eu015,noteu0w,noteu005,noteu010,eupw,eup10,eup15,us0w,us090,us095,uspw,usp90,usp95
1998-01-01,970.43,49.7378241342835,49.2519621035165,50.2383122794061,67.7905572641941,49.7756933582499,52.681055381615,49.4577536831104,44.4983978850367,47.6956464271699,47.1983912644599,48.5027881143414,32.2417285194474,33.0731123301447,47.8474410865538,32.3835162456875,33.1747010786483
1998-01-02,975.04,50.0625460389386,49.5910455591059,50.5595735965074,68.4436278268065,50.0993001009138,53.0650873156268,49.7843077543846,44.6758157802805,47.849492286768,47.4604406769623,48.8558456883377,32.3154146626798,33.1724110186956,48.1651446044175,32.4412367903272,33.2616112672814
1998-01-05,977.07,50.0941794517073,50.2887740688158,51.3137686946635,69.6879202166978,50.0789504520456,52.6364932634452,49.4061231022961,45.114098460837,48.2863558130839,48.1046377327162,48.8815451010648,32.0606834198286,32.8964883310108,48.1711152467502,32.1986619766715,33.0000611097695
1998-01-06,966.58,49.6963641291835,49.692185712753,50.700553766686,68.7944199824783,49.6966912274464,52.3700270322388,49.1297220692623,44.6527701513582,47.8203178667821,47.5162603665738,48.4861166911057,31.908657926849,32.7371201349655,47.7929812580211,32.0551047345677,32.8424366761342
1998-01-07,964,49.4615749832091,49.9483641749321,50.9306047324273,69.3876323323836,49.4234176478011,51.7773174974421,48.6314712312925,44.5391368468782,47.6616317900941,47.6453256910183,48.2441507049315,31.6859997211809,32.4568821437838,47.5294050233096,31.8411159094628,32.5718249383475
1998-01-08,956.05,48.9056686969778,49.4579819049582,50.3966783376682,68.7427695484088,48.8623141606391,51.161135466738,48.0628505379218,44.0714182535787,47.0836085775902,47.2352033371038,47.7164419728245,31.346827389103,32.0720706362704,46.9922664093472,31.4903314366821,32.1788927451944
1998-01-09,927.69,47.3209554247756,48.1891621173945,49.1154497579744,67.0767435432759,47.2528607544214,49.2760271529183,46.3073495554186,42.7407172882048,45.6524491014214,45.957347182381,46.1977888478216,30.7163211143981,31.4146709981351,45.4812100558001,30.8616826171444,31.5248445970733
1998-01-12,939.21,47.4643901581566,49.3686922039898,50.3578335990369,69.0239341387486,47.3149939170801,48.6510566657632,45.8287377332947,43.5610909255729,46.5272084756474,47.0898836997029,46.2943668059709,31.0534086799675,31.7790257140318,45.575864793886,31.1946332865089,31.891470927122
1998-01-13,952.12,47.7384050480671,49.4811927687685,50.4050358867155,69.1156005350448,47.6016805060219,49.0582336386638,46.2309925295447,43.8922541599729,46.9216006692878,47.2030759123602,46.5360397302473,31.3592302588807,32.114561806706,45.8686070859953,31.5000513444089,32.2275537467591
1998-01-14,957.94,47.8395328302514,49.3929490700679,50.3613623916474,68.6846556588758,47.7177618546661,49.2721161711941,46.4156501154885,44.0527818664446,47.0797810604948,47.228567326059,46.6627412392869,31.6833876599543,32.4685306321778,46.0065306875859,31.8163069399723,32.5719928275677
1998-01-15,950.73,47.3028141244023,48.3530969509225,49.2813712100322,66.9538970340417,47.2206940968585,49.0691069245039,46.1914975697293,43.3172361191023,46.2425716605199,46.3233116841504,46.1803367797832,31.5079230392568,32.3181837259874,45.5371191584926,31.6412477477857,32.4126978898948
1998-01-16,961.51,47.8473711520336,48.8495941390303,49.7608741287083,67.5658558630329,47.7689777124163,49.6647372074581,46.7754740366308,43.8458716829183,46.8159631876013,46.8325646018963,46.6842024129119,31.834852231515,32.6892705752083,46.0505703352558,31.9629205878595,32.7823380477384
1998-01-19,961.51,47.8473711520336,48.8495941390303,49.7608741287083,67.5658558630329,47.7689777124163,49.6647372074581,46.7754740366308,43.8458716829183,46.8159631876013,46.8325646018963,46.6842024129119,31.834852231515,32.6892705752083,46.0505703352558,31.9629205878595,32.7823380477384
1998-01-20,978.6,49.0646798005106,50.5054424065775,51.5062480697145,69.9490905670513,48.9518685511988,50.651152170911,47.6953322282963,45.1754586666385,48.1675603165975,48.4030420594262,47.8637788961302,32.1866773240149,33.0776790952562,47.1776054210096,32.3227756709017,33.1889645124437
1998-01-21,970.81,48.7958278945535,50.3038682125125,51.2880497759362,69.8946036713504,48.6777213904596,50.351288963345,47.3940275149273,44.6683458994917,47.7053538472283,48.0021760037794,47.6266293682923,31.8759875853973,32.7090216049046,46.9153145371048,31.9994890498241,32.8102639954988
1998-01-22,963.04,48.5485469137668,50.1176487879143,51.1465110021814,69.5822653496396,48.4255664633126,50.0517708731426,47.0831483161313,44.3148933203433,47.2909575216027,47.7417408732538,47.4420777436321,31.6962090873882,32.5078932373884,46.6872560621537,31.8217168781158,32.6150434314328
1998-01-23,957.59,48.4887804594797,49.5820357678095,50.5794494202208,68.6873580810832,48.4029340679504,50.396139879723,47.3033502904795,43.961329362226,46.8564661096333,47.2885468247193,47.413642458428,31.4636035581672,32.2636028467566,46.6425913022809,31.5792439365907,32.3652325920189
1998-01-26,956.95,48.8577144435244,49.9402118707436,50.9488104602861,69.2355909342217,48.7727415555787,50.7781376861556,47.6728772836517,44.0907904335279,46.9858330312491,47.5811061271511,47.808963963408,31.4815259068712,32.2758093575697,46.9840818848505,31.5888956260157,32.3707919908656
1998-01-27,969.02,49.9136418127818,50.9259081940292,51.9250215165209,70.9118697958318,49.8340889264151,52.0595560379772,48.7711796116512,44.8368817159591,47.9099121076072,48.2439658197679,48.8223134729709,31.7199092360451,32.5207222825229,47.9933879806243,31.8232435106198,32.6106000162553
1998-01-28,977.46,50.1565598084142,51.1607391952931,52.2223985053203,70.922673562292,50.07756843362,52.2483132131291,48.9819578446646,45.240755728964,48.316460807064,48.5372258969351,49.0491418023945,31.7544922584425,32.5387467054428,48.2390447185794,31.8873589053492,32.6420812643691
1998-01-29,985.49,50.341395230006,51.6631438367871,52.7103097398899,71.7397658873332,50.2371026781204,52.2290818806452,48.9870122178829,45.6294190189599,48.70520139194,49.0279328050592,49.2367510905037,32.0527725789532,32.8666709348858,48.4242821152396,32.186554317768,32.969679637911
1998-01-30,980.28,50.1466084908763,51.6926993213525,52.7462133079579,72.0923467349136,50.0246637266398,51.906761298121,48.6605202944822,45.5155890538971,48.5861789844884,49.0116218463567,49.0576276816436,31.9651224116994,32.7793825049055,48.2342589982218,32.0927825237285,32.8759995705244
1998-02-02,1001.27,51.1168022567909,52.4964183249458,53.5661943868642,73.0476595267636,51.0080927716335,53.0152949984093,49.7157903512013,46.415293203578,49.6067597662043,49.7902789911435,49.9839733270947,32.614859030018,33.4613649101573,49.182814203653,32.7253188510943,33.550418861891
1998-02-03,1006,51.2428793688149,51.9508371135473,52.9335369521671,72.025127002211,51.1871764568135,53.5991047587151,50.2779236361203,46.1856115600453,49.3778388718571,49.2954219021927,50.0987679535483,32.6559105609873,33.500342218284,49.3216688053657,32.770628597508,33.5968466516804
1998-02-04,1006.9,50.9291643737399,51.5656723310137,52.5331764719288,71.3813527788027,50.8791193272423,53.3130405954492,50.015212774104,45.8745383774496,49.0335210344941,48.8865066331406,49.7974596833698,32.484647887395,33.296948779114,49.0380797396941,32.6101363105025,33.4030369004933
1998-02-05,1003.54,50.815115149843,51.4693926442956,52.3825739928163,71.3206505870694,50.7636637979252,53.2033263337058,49.922490473273,45.7417211698586,48.8903902785977,48.7676689642521,49.6427781263182,32.2213431541985,33.0038550417313,48.8939424705579,32.3456756741246,33.109647871991
1998-02-06,1012.46,51.1093892559899,51.9316865077778,52.8328440341132,72.1898731900284,51.0446992487778,53.4522615667073,50.1265999954297,46.013357309113,49.1764995376719,49.1844211018666,49.9585599684416,32.5986917838124,33.3907041723243,49.1932853303662,32.7245482274589,33.5001254533984
1998-02-09,1010.74,50.9000523610808,51.5166448786408,52.3804716070662,71.4858433237866,50.8516022746211,53.3626191988919,50.0575296691008,45.8448084029066,48.9746414716268,48.8998617265573,49.7470624654311,32.6132487213554,33.4032832122928,49.0081661539897,32.7460576821275,33.5282770895798
1998-02-10,1019.01,51.4251939249598,51.8047710700199,52.7072099066811,71.7206250549603,51.395357107506,54.0447960749898,50.6956729052879,46.2576427398029,49.4376744616395,49.1836723609612,50.2219605903369,32.5791369418897,33.33547586753,49.4822160042795,32.7116311661834,33.4612472735783
1998-02-11,1020.01,51.7979023842719,52.2143509802394,53.1969016687491,72.4559168218287,51.7651917507027,54.4536136775783,51.004069452918,46.5162187951044,49.7684177509993,49.5830450110584,50.5650974153496,32.5731527612202,33.3693856299154,49.8038012433983,32.7155654906835,33.4969133427837
1998-02-12,1024.14,52.2900723295053,52.2003743975325,53.1470605258524,72.4190703195484,52.2971066266148,55.3783786628873,51.8056155692144,46.600559509733,49.879774396711,49.5897108927016,51.0420736037421,32.6310498263001,33.4022050775067,50.2704690974912,32.7984712530147,33.5387141047099
1998-02-13,1020.09,51.9033931464569,51.7774212059858,52.7373809482282,71.665008644851,51.9132710591383,54.9631768571706,51.432101448976,46.2786065907239,49.5465344280269,49.177953509321,50.6686019832783,32.5218032594997,33.3005801212664,49.9136734039782,32.6880149577654,33.4427137417929
1998-02-16,1020.09,51.9033931464569,51.7774212059858,52.7373809482282,71.665008644851,51.9132710591383,54.9631768571706,51.432101448976,46.2786065907239,49.5465344280269,49.177953509321,50.6686019832783,32.5218032594997,33.3005801212664,49.9136734039782,32.6880149577654,33.4427137417929
1998-02-17,1022.76,51.9391375927061,51.886059923805,52.8141974031017,71.8656150286041,51.9433041932188,54.9809069863884,51.4428911704499,46.4428766848071,49.7487057732957,49.2787005881388,50.7178304433509,32.885587642403,33.6875309728969,49.9806414044238,33.0412208627212,33.8184490445628
1998-02-18,1032.08,52.3327451169212,52.0833694490005,52.9861409410685,72.1557412641581,52.3522930477823,55.543586980772,51.9632799787857,46.7572092684992,50.0532349903365,49.5352757938174,51.1294462731427,33.2216058642438,34.0626209062476,50.3900723196545,33.375558728094,34.1893401195293
1998-02-19,1028.28,51.8699616761626,51.7927927813588,52.6434145313407,71.7042518790455,51.8760267893994,54.9576152072705,51.4304055499179,46.4296030674538,49.6560180478023,49.1794508235823,50.7116125147391,32.9767462272654,33.7999720682677,49.9683568671175,33.1336785798054,33.9308400922183
1998-02-20,1034.21,52.3198704328753,52.0097944754578,52.8582071939543,72.0405775255368,52.3442193115486,55.6203415644692,52.0142535622023,46.7614390958226,50.0227304326271,49.4640564148594,51.1282807135869,33.0960132532076,33.8818984025915,50.3834293329448,33.2641007191778,34.0282763510498
1998-02-23,1038.14,52.2760252442518,51.8000227619326,52.6925145688962,71.4835111799971,52.3133294673088,55.6432903708646,52.0395282401946,46.8261254909298,50.0033542409645,49.5163198931207,51.1374336281338,33.1007748315923,33.8959315373081,50.3794382585414,33.2694585266954,34.0464923360492
1998-02-24,1030.56,51.8690679379173,51.234609498607,52.1123408578521,70.6544811762761,51.9187409718815,55.3582995941954,51.7311196104282,46.3073866231272,49.455508299546,48.972029304665,50.7413801097861,32.7493437430622,33.5380381345833,49.9817340138827,32.9329568475313,33.692809047672
1998-02-25,1042.9,52.4682619677414,51.5721234709273,52.4698226273543,70.9335517457055,52.5383860349272,56.1906622873952,52.4673787209532,46.6668013335474,49.8546909573194,49.2470660329045,51.3593631846925,33.0876442957128,33.8979741851868,50.5925345628324,33.2732617104195,34.0541197693658
1998-02-26,1048.67,52.5779026201226,51.4995565895124,52.4297261258906,70.6424495889579,52.6623618735427,56.4046828734605,52.6619410984783,46.6421552507485,49.8344896195505,49.2029181083284,51.4946346861764,33.255463589758,34.0433604870042,50.7182398483339,33.4430791029981,34.190036043042
1998-02-27,1049.34,52.6795107783248,51.9419960009502,52.8810297675261,71.3623748362495,52.7374301181954,56.3000643667388,52.5645775780226,46.8631822211999,50.0773958015513,49.5575045725631,51.5933248461652,33.3457506940918,34.1437266603944,50.7983859857982,33.5428952282559,34.2901801266652
1998-03-02,1047.7,52.437613405775,51.3302526358828,52.2515217349128,70.1092885350539,52.524680978907,56.2593410068949,52.5436290472131,46.3913492762685,49.5410995746053,49.0653907382186,51.3771920258499,33.4152271656728,34.2185458850406,50.5727477685242,33.6090275813248,34.3650227829378
1998-03-03,1052.02,52.9533221977276,51.7130164095812,52.5932061356105,70.7647183750348,53.0507721323164,56.9294718050158,53.1581806406558,46.7182585386828,49.925280798934,49.4441532202871,51.8441990537625,33.4438002455345,34.2640183042976,51.0400731554961,33.6395898516463,34.4203671749334
1998-03-04,1047.33,52.4159488076198,51.204609399314,52.0523941247451,70.0119007346562,52.5112636941347,56.3818013328063,52.6227382774089,46.2284165584447,49.381674070639,48.8702456328228,51.3483310325472,33.2373158438148,34.0283117894531,50.5443295552485,33.4368725029374,34.1819140051141
1998-03-05,1035.05,52.3082612794185,51.30965831409,52.184792867446,70.1631966701228,52.3866778254811,56.0662798664161,52.377892408239,46.3022769091341,49.5201427164257,48.960909581673,51.1677200804815,33.0225598483624,33.8171744567976,50.3810170140428,33.2209827739725,33.9698007897139
1998-03-06,1055.69,53.0760238766375,52.3359124028058,53.2818054613543,71.7725418299817,53.1342592950285,56.730200370442,52.9592495417098,47.1132616181558,50.3654867103461,50.024848379847,51.9606280181965,33.7721932785864,34.590005667744,51.137465200702,33.9639679218254,34.746534677588
1998-03-09,1052.31,53.4914932589495,52.7271844542974,53.6720967169012,72.1381877331235,53.551723599144,57.1780263308766,53.3890790356802,47.3896996973713,50.6477097742462,50.3766406623648,52.3367575155406,33.7157789201539,34.6043862657425,51.4904635920474,33.940501541031,34.7873592798536
1998-03-10,1064.25,53.7080336800756,52.9802545238123,53.9503352658112,72.3453624817892,53.7653163932532,57.3560499447806,53.5707001931479,47.9050361269813,51.2544030156115,50.7177511798599,52.4972709960314,33.9599809895928,34.8493315603724,51.7098746380326,34.182343233942,35.0344479217136
1998-03-11,1068.47,53.9918339171048,53.0882403051742,54.0453875515476,72.5772473360837,54.0628221058799,57.8068285735759,53.961551248852,48.1027297685613,51.5023597453647,50.8013082450172,52.7554080327073,34.1581627752263,35.0600081929316,51.9881499712087,34.3970190555636,35.2374784293919
1998-03-12,1069.92,54.06539452371,53.1909905007545,54.1469014910673,72.8310424119021,54.1339204937668,57.869521821546,54.0195375469694,48.2383840266363,51.71481058971,50.7873338116772,52.818101583061,34.3057940900299,35.2375139703304,52.0804518169593,34.5554189277098,35.4108872927603
1998-03-13,1068.61,54.1831661105406,52.6062471971697,53.5245688787494,71.9858727518853,54.3065402643261,58.5085091838264,54.5530821156347,47.8759476843165,51.3307971900096,50.2587603056133,52.9862417022445,34.3831804550453,35.3254021711837,52.2339215624777,34.6261313114359,35.493146804165
1998-03-16,1079.27,55.0135956740621,53.2618669080451,54.21995900316,72.9678349150227,55.1504423041026,59.5002221449518,55.4590411758861,48.3831063927633,51.8635290575443,50.9033748474612,53.8339354080073,34.8316990562928,35.793798926944,53.0376857435014,35.0920680422,35.976333098768
1998-03-17,1080.45,55.451979957782,53.6534749642931,54.661521075374,73.5464890654426,55.592472355321,60.0249404948313,55.8949713832797,48.8216400498731,52.3789068966308,51.3354143436964,54.2041170816266,34.8055366395671,35.7502138837873,53.4165046135481,35.0841639407771,35.9469510143062
1998-03-18,1085.52,55.0450560629338,53.5916330291126,54.5432554831111,73.3372678478936,55.1583469883403,59.2919490435837,55.3249974144198,48.8167510256234,52.3096132255267,51.3342353489544,53.7936512099295,34.9315589564247,35.8804952301653,53.0380367087177,35.2102214883359,36.0859295467811
1998-03-19,1089.74,55.3560711227699,53.8733693769524,54.9087059432502,73.6785687059886,55.4715421561625,59.6155500778865,55.6051539039151,48.9996218810595,52.5552082144808,51.5210865041651,54.1092244706872,35.2332769764543,36.205020743982,53.3346303003286,35.5072411322618,36.4129398774619
1998-03-20,1099.16,56.4302692398913,54.8450095605551,55.8770283872998,75.1712023095989,56.5537894524786,60.8455593141215,56.7381864199905,49.7665512324392,53.4475123895259,52.370557220485,55.1034698327061,35.5780605543606,36.5834887722897,54.3058986605143,35.8632785644573,36.8049972201117
1998-03-23,1095.55,55.5919333426136,53.9853766091282,54.9268640187512,73.9787897759476,55.7166030903968,59.9483667694247,55.9584188486532,49.0224185059251,52.549179272667,51.6271806946972,54.3233122287671,35.4059270400696,36.4684250493965,53.5290432110644,35.6608473138891,36.6598352886663
1998-03-24,1105.65,56.2200782843757,55.1687051992219,56.1805550902843,76.0840514620699,56.3018084643638,60.275502323248,56.241916275202,49.9298921907411,53.6139679167527,52.6523547781189,54.8676794924024,35.6306759043601,36.7079324902526,54.0835554816318,35.8908653381766,36.9057907288936
1998-03-25,1101.93,55.8515899596359,54.8874750480534,55.8057248004444,75.7507300977614,55.9265255657397,59.866213277088,55.876891577049,49.7484154909088,53.3988479985226,52.2917478326056,54.4622365178023,35.1297215163681,36.1706150407095,53.7152317425277,35.4088071554042,36.3859595837526
1998-03-26,1100.8,55.6077196903188,55.0564056305324,55.9506511741315,76.112160810019,55.65068894042,59.3339025140895,55.4178281660318,49.8470471698467,53.553173631231,52.3575354702491,54.1821261041061,34.9532090565111,35.9770632823056,53.4697333324992,35.225308028072,36.1806962097132
1998-03-27,1095.44,55.5159992738854,55.7347798299651,56.5954451155084,77.4319212345941,55.4988930320342,58.7852195757444,54.9153108185284,50.0529566953163,53.7379690302317,52.8298307090977,54.1014665355654,34.8220586375294,35.8491837389028,53.3581308380921,35.1012303661824,36.0548382762844
1998-03-30,1093.55,55.4139322290842,56.6821958901528,57.52692210174,79.2232105236232,55.3144575896318,57.9297249025281,54.2378649711698,50.3954355883,54.0910264157824,53.5869024678158,53.9519186918951,34.5124523541942,35.5020265340183,53.1778047277491,34.7862285811364,35.7043469676046
