ISIN,NAME,count,avgSharesEU,avgSharesEUplus,avgSharesUS,avgSharesUSplus
US1101221083,BRISTOL MYERS SQUIBB,92,0.123902408164611,0.214866441026752,0.595307500023338,0.595307500023338
US1113201073,BROADCOM 'A' DEAD - ACQD.SEE 54332K,62,0.0500000461937537,0.0500000461937537,0.385000061898609,0.385000061898609
US1156372096,BROWN-FORMAN 'B',92,0.116506449066181,0.291266122665453,0.58228234683438,0.58228234683438
US1170431092,BRUNSWICK,41,0.0259551466359977,0.129775733179989,0.687038816261216,0.687038816261216
US12189T1043,BURL.NTHN.SANTA FE C DEAD - DELIST.26/02/10,48,0,0,1,1
US12504L1098,CBRE GROUP CLASS A,57,0.0981300643417859,0.149156711049504,0.430081922926237,0.602865770195618
US1252691001,CF INDUSTRIES HDG.,50,0.0201260911736178,0.0805043646944714,0.80521536877064,0.808488889624181
US12541W2098,CH ROBINSON WWD.,56,0,0,0.906361109642882,0.906361109642882
US1255231003,CIGNA,92,0,0,0.957641277573581,0.957641277573581
US12572Q1058,CME GROUP,58,0,0,1,1
US1258961002,CMS ENERGY,87,0,0,0.970019871534924,0.970019871534924
US1264081035,CSX,92,0.000586009034305946,0.000586009034305946,0.99277255524356,0.99277255524356
US1266501006,CVS HEALTH,92,0,0,1,1
US12673P1057,CA DEAD - DELIST.06/11/18,83,0.180721284846445,0.239848455189007,0.637608164582982,0.637608164582982
US1270971039,CABOT OIL & GAS 'A',51,0,0,1,1
US1344291091,CAMPBELL SOUP,92,0.0641339570249017,0.106889928374836,0.762860199146051,0.762860199146051
US14040H1059,CAPITAL ONE FINL.,90,0,0,0.949558994611261,0.949558994611261
US14149Y1082,CARDINAL HEALTH,92,0,0,0.972900441536597,0.972900441536597
US1431301027,CARMAX,43,0,0,1,1
US1491231015,CATERPILLAR,92,0,0.244396562957747,0.297041277083771,0.42782927129512
US1510201049,CELGENE DEAD - DELIST.21/11/19,52,0.158227995378139,0.210970660504186,0.552265576080282,0.793651035562795
US15189T1079,CENTERPOINT EN.,92,0.00394691313219119,0.00394691313219119,0.988892854737509,0.988892854737509
US1523121044,CENTEX DEAD - DELIST.19/08/09,46,0,0,0,0
US1567821046,CERNER,43,0,0,0.890117014692656,0.890117014692656
US1651677437,CHESAPEAKE ENERGY DEAD - DELIST.10/02/21,48,0,0,0.989226565087778,0.989226565087778
US1667641005,CHEVRON,92,0,0,0.541022834577977,0.541022834577977
US1712321017,CHUBB DEAD - DELIST.14/01/16,72,0,0,0.802739015094273,0.802739015094273
