date,z_ea_unemp,z_ea_bcs_confind
02-Jul-2009,1.09674003741881,NaN
30-Jul-2009,NaN,0
31-Jul-2009,-3.29022011225643,NaN
28-Aug-2009,NaN,1.63413594131599
01-Sep-2009,0,NaN
29-Sep-2009,NaN,0
01-Oct-2009,0,NaN
29-Oct-2009,NaN,0.817067970657995
30-Oct-2009,0,NaN
27-Nov-2009,NaN,0
01-Dec-2009,0,NaN
07-Jan-2010,NaN,0.817067970657995
08-Jan-2010,1.09674003741881,NaN
28-Jan-2010,NaN,0.817067970657995
29-Jan-2010,-1.09674003741881,NaN
25-Feb-2010,NaN,0
01-Mar-2010,-2.19348007483762,NaN
29-Mar-2010,NaN,0.817067970657995
31-Mar-2010,0,NaN
29-Apr-2010,NaN,0.817067970657995
30-Apr-2010,0,NaN
31-May-2010,NaN,0.817067970657995
01-Jun-2010,1.09674003741881,NaN
29-Jun-2010,NaN,0
02-Jul-2010,-1.09674003741881,NaN
29-Jul-2010,NaN,0.817067970657995
30-Jul-2010,0,NaN
30-Aug-2010,NaN,0
31-Aug-2010,0,NaN
29-Sep-2010,NaN,2.45120391197398
01-Oct-2010,1.09674003741881,NaN
28-Oct-2010,NaN,0.817067970657995
29-Oct-2010,0,NaN
29-Nov-2010,NaN,-0.898774767723794
30-Nov-2010,0,NaN
06-Jan-2011,NaN,1.63413594131599
07-Jan-2011,0,NaN
27-Jan-2011,NaN,0.817067970657995
01-Feb-2011,-1.09674003741881,NaN
24-Feb-2011,NaN,0
01-Mar-2011,-1.09674003741881,NaN
30-Mar-2011,NaN,0.490240782394797
01-Apr-2011,0,NaN
29-Apr-2011,0,-0.653654376526396
27-May-2011,NaN,-1.14389515892119
31-May-2011,0,NaN
29-Jun-2011,NaN,-0.245120391197398
01-Jul-2011,0,NaN
28-Jul-2011,NaN,-0.408533985328997
01-Aug-2011,0,NaN
30-Aug-2011,NaN,-0.735361173592195
31-Aug-2011,1.09674003741881,NaN
29-Sep-2011,NaN,-0.735361173592195
30-Sep-2011,0,NaN
27-Oct-2011,NaN,0.326827188263198
31-Oct-2011,2.19348007483762,NaN
29-Nov-2011,NaN,0.245120391197398
30-Nov-2011,1.09674003741883,NaN
06-Jan-2012,0,0.326827188263198
30-Jan-2012,NaN,-0.326827188263198
31-Jan-2012,0,NaN
28-Feb-2012,NaN,0.898774767723795
01-Mar-2012,3.29022011225643,NaN
29-Mar-2012,NaN,-1.14389515892119
02-Apr-2012,0,NaN
26-Apr-2012,NaN,-1.63413594131599
02-May-2012,0,NaN
30-May-2012,NaN,-0.898774767723795
01-Jun-2012,0,NaN
28-Jun-2012,NaN,-0.571947579460596
02-Jul-2012,0,NaN
30-Jul-2012,NaN,-0.817067970657995
31-Jul-2012,0,NaN
30-Aug-2012,NaN,0.163413594131598
31-Aug-2012,0,NaN
27-Sep-2012,NaN,-0.898774767723795
01-Oct-2012,0,NaN
30-Oct-2012,NaN,-0.817067970657995
31-Oct-2012,1.09674003741881,NaN
29-Nov-2012,NaN,1.63413594131599
30-Nov-2012,0,NaN
