year,month,pc1ff1_hf,sp500_hf,MP_pm,CBI_pm,MP_median,CBI_median,MP_q25,CBI_q25,MP_q75,CBI_q75,MP_q10,CBI_q10,MP_q90,CBI_q90
2002,8,-0.11165728,-0.69761,-0,-0.11165728,-0.02061335,-0.09104393,-0.06769993,-0.04395735,0.01719061,-0.12884789,-0.09524859,-0.01640869,0.03108334,-0.14274062
2002,9,-0.01259224,-0.9571,-0,-0.01259224,0.0420182,-0.05461044,0.01790228,-0.03049452,0.05339865,-0.06599089,-0.00012969,-0.01246255,0.05269509,-0.06528733
2002,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,11,-0.12536406,-0.92593,-0,-0.12536406,-0.01594117,-0.10942289,-0.0718626,-0.05350146,0.02765955,-0.15302361,-0.10521736,-0.0201467,0.04288894,-0.168253
2002,12,0.02275188,-0.33811,0.02275188,0,0.0284437,-0.00569182,0.02775675,-0.00500487,0.02463166,-0.00187978,0.02521024,-0.00245836,0.02055956,0.00219232
2003,1,0.05177513,0.16534,0,0.05177513,0.01754122,0.03423391,0.0359896,0.01578553,0.0012929,0.05048223,0.04607691,0.00569822,-0.00555783,0.05733296
2003,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,3,-0.01001497,-0.50717,-0,-0.01001497,0.02059441,-0.03060938,0.0068529,-0.01686787,0.02758736,-0.03760233,-0.00317213,-0.00684284,0.02768438,-0.03769935
2003,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,5,-0.09037497,0.17834,-0.09037497,-0,-0.05419007,-0.0361849,-0.0763957,-0.01397927,-0.02961139,-0.06076358,-0.08606962,-0.00430535,-0.01644641,-0.07392856
2003,6,0.15046097,-0.27153,0.15046097,0,0.08893729,0.06152368,0.12644973,0.02401124,0.0478118,0.10264917,0.1429866,0.00747437,0.02595964,0.12450133
2003,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,8,-0.03742054,-0.10492,-0,-0.03742054,-0.01341392,-0.02400662,-0.02643538,-0.01098516,-0.00178855,-0.03563199,-0.03347828,-0.00394226,0.00320051,-0.04062105
2003,9,-0.00050415,-0.18495,-0,-0.00050415,0.00908418,-0.00958833,0.00497953,-0.00548368,0.01072783,-0.01123198,0.00176622,-0.00227037,0.01032069,-0.01082484
2003,10,-0.08857696,-0.05012,-0,-0.08857696,-0.04175843,-0.04681853,-0.06833728,-0.02023968,-0.01584649,-0.07273047,-0.08164017,-0.00693679,-0.00352472,-0.08505224
2003,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,12,0.03574144,-0.05813,0.03574144,0,0.02080512,0.01493632,0.02985245,0.00588899,0.01098429,0.02475715,0.03388897,0.00185247,0.00580986,0.02993158
2004,1,0.13457744,-0.9677,0.13457744,0,0.11613813,0.01843931,0.134173,0.00040444,0.08522673,0.04935071,0.13664864,-0.0020712,0.06380806,0.07076938
2004,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,3,-0.06096322,-0.07294,-0,-0.06096322,-0.02679961,-0.03416361,-0.04591558,-0.01504764,-0.00865419,-0.05230903,-0.05572452,-0.0052387,-0.00027308,-0.06069014
2004,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,5,0.00465405,0.36567,0,0.00465405,-0.01613196,0.02078601,-0.00696342,0.01161747,-0.02043479,0.02508884,-9.618e-05,0.00475023,-0.02014392,0.02479797
2004,6,-0.02232292,0.28122,-0.02232292,-0,-0.02535742,0.0030345,-0.02576487,0.00344195,-0.02120797,-0.00111495,-0.02412467,0.00180175,-0.0173432,-0.00497972
2004,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,8,0.04755879,-0.2991,0.04755879,0,0.03887794,0.00868085,0.04616931,0.00138948,0.02760664,0.01995215,0.04777273,-0.00021394,0.02014825,0.02741054
2004,9,-0.01579655,0.06393,-0.01579655,-0,-0.01112546,-0.00467109,-0.01430546,-0.00149109,-0.00709478,-0.00870177,-0.01543977,-0.00035678,-0.00470902,-0.01108753
2004,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,11,-0.03147177,0.08411,-0.03147177,-0,-0.01998175,-0.01149002,-0.02724343,-0.00422834,-0.01160087,-0.0198709,-0.03023834,-0.00123343,-0.00695949,-0.02451228
