year,month,pc1eon1_me_njt,stoxx50_me_njt,MP_pm,CBI_pm,MP_median,CBI_median,MP_q25,CBI_q25,MP_q75,CBI_q75,MP_q10,CBI_q10,MP_q90,CBI_q90
2001,10,0.10911758,0.41590751,0.02946434,0.07965324,0.04198749,0.06713009,0.08180217,0.02731541,0.00794052,0.10117706,0.10070948,0.0084081,-0.00287031,0.11198789
2001,11,0.02851834,-0.51717385,0.02851834,0,0.02989137,-0.00137303,0.03365404,-0.0051357,0.01895664,0.0095617,0.03157686,-0.00305852,0.01096599,0.01755235
2001,12,0.02949904,-0.36411508,0.02949904,0,0.02575534,0.0037437,0.03146075,-0.00196171,0.01500046,0.01449858,0.03122802,-0.00172898,0.00814495,0.02135409
2002,1,0.02064142,0.02256732,0,0.02064142,0.00963859,0.01100283,0.01657466,0.00406676,0.00301547,0.01762595,0.01952208,0.00111934,0.00050737,0.02013405
2002,2,0.03254447,0.73011999,0,0.03254447,-0.00579652,0.03834099,0.01251119,0.02003328,-0.01397908,0.04652355,0.02494699,0.00759748,-0.01220161,0.04474608
2002,3,0.01260563,0.20327803,0,0.01260563,0.00015849,0.01244714,0.00640565,0.00619998,-0.00326965,0.01587528,0.01033068,0.00227495,-0.00323746,0.01584309
2002,4,-0.01416075,-0.14846166,-0,-0.01416075,-0.00259294,-0.01156781,-0.00876279,-0.00539796,0.00151807,-0.01567882,-0.01227609,-0.00188466,0.00214127,-0.01630202
2002,5,0.04715893,-0.2537061,0.04715893,0,0.03124804,0.01591089,0.0438546,0.00330433,0.01512313,0.0320358,0.04716519,-6.26e-06,0.00687364,0.04028529
2002,6,0.0057496,-0.28223068,0.0057496,0,0.01140556,-0.00565596,0.01027524,-0.00452564,0.00862196,-0.00287236,0.00786075,-0.00211115,0.00554227,0.00020733
2002,7,-0.00793278,-0.23717285,-0,-0.00793278,0.00320244,-0.01113522,-0.0018885,-0.00604428,0.00500433,-0.01293711,-0.00558368,-0.0023491,0.00408246,-0.01201524
2002,8,0.00227201,-0.52637732,0.00227201,0,0.01704639,-0.01477438,0.01219647,-0.00992446,0.01459662,-0.01232461,0.00659013,-0.00431812,0.00995597,-0.00768396
2002,9,-0.02366379,-0.88099301,-0,-0.02366379,0.01479718,-0.03846097,-0.00223082,-0.02143297,0.01960775,-0.04327154,-0.01519933,-0.00846446,0.01542595,-0.03908974
2002,10,0.03071983,-0.18462331,0.03071983,0,0.02094038,0.00977945,0.02894698,0.00177285,0.01037346,0.02034637,0.03088646,-0.00016663,0.00483991,0.02587992
2002,11,0.02778629,-1.60454961,0.02778629,0,0.06239259,-0.0346063,0.05437627,-0.02658998,0.04815734,-0.02037105,0.04000946,-0.01222317,0.03128835,-0.00350206
2002,12,-0.04331595,-0.89127732,-0,-0.04331595,0.00528195,-0.0485979,-0.0182308,-0.02508515,0.01643467,-0.05975062,-0.03387987,-0.00943608,0.01473321,-0.05804916
2003,1,0.02437889,1.23744907,0,0.02437889,-0.02521394,0.04959283,-0.0041705,0.02854939,-0.0290967,0.05347559,0.01288874,0.01149015,-0.02206649,0.04644538
2003,2,0.02010775,-1.40471361,0.02010775,0,0.05251303,-0.03240528,0.0441267,-0.02401895,0.04141909,-0.02131134,0.03099861,-0.01089086,0.02720159,-0.00709384
2003,3,0.04343564,-1.38558258,0.04343564,0,0.06359872,-0.02016308,0.06298354,-0.0195479,0.04499893,-0.00156329,0.053115,-0.00967936,0.0278943,0.01554134
2003,4,0.02058424,-0.23679494,0.02058424,0,0.01744953,0.00313471,0.02161416,-0.00102992,0.01000108,0.01058316,0.02164557,-0.00106133,0.00535997,0.01522427
2003,5,0.03846894,-1.12156217,0.03846894,0,0.05313504,-0.0146661,0.05371088,-0.01524194,0.0370056,0.00146334,0.04615482,-0.00768588,0.02272819,0.01574075
2003,6,-0.05591729,-0.93779993,-0,-0.05591729,0.00038749,-0.05630478,-0.02770723,-0.02821006,0.01547699,-0.07139428,-0.04552287,-0.01039442,0.01503646,-0.07095375
2003,7,0.01414944,0.17259215,0.00658004,0.0075694,0.00185791,0.01229153,0.00828022,0.00586922,-0.00217092,0.01632036,0.01206265,0.00208679,-0.0025935,0.01674294
2003,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
