year,month,day,pc1eon1_me_njt,stoxx50_me_njt,MP_pm,CBI_pm,MP_median,CBI_median,MP_q25,CBI_q25,MP_q75,CBI_q75,MP_q10,CBI_q10,MP_q90,CBI_q90
1999,1,7,-0.03587306,-1.23144264,-0,-0.03587306,0.0192853,-0.05515836,-0.00542335,-0.03044971,0.02691658,-0.06278964,-0.02391558,-0.01195748,0.02143628,-0.05730934
1999,1,21,0.00343001,-0.21212635,0.00343001,0,0.00812678,-0.00469677,0.00698803,-0.00355802,0.00632381,-0.0028938,0.00505692,-0.00162691,0.00412545,-0.00069544
1999,2,18,0,0.17415741,0,0,-0.00526412,0.00526412,-0.0034156,0.0034156,-0.00469746,0.00469746,-0.00146256,0.00146256,-0.00326017,0.00326017
1999,3,4,-0.00186116,0.08240675,-0.00186116,-0,-0.00342142,0.00156026,-0.00315055,0.00128939,-0.00254949,0.00068833,-0.00246936,0.0006082,-0.00162647,-0.00023469
1999,3,18,-0.00058182,0.06092161,-0.00058182,-0,-0.00213234,0.00155052,-0.00167447,0.00109265,-0.00174536,0.00116354,-0.00106722,0.0004854,-0.00116664,0.00058482
1999,4,8,-0.00705911,-0.0406427,-0,-0.00705911,-0.00230108,-0.00475803,-0.0050226,-0.00203651,-0.00014319,-0.00691592,-0.00639981,-0.0006593,0.00044283,-0.00750194
1999,4,22,-0.00266694,0.09529947,-0.00266694,-0,-0.00421401,0.00154707,-0.00406771,0.00140077,-0.00303872,0.00037178,-0.00334712,0.00068018,-0.00190411,-0.00076283
1999,5,6,0.00593219,-0.36785083,0.00593219,0,0.01408483,-0.00815264,0.01210497,-0.00617278,0.01096341,-0.00503122,0.00875414,-0.00282195,0.00715328,-0.00122109
1999,5,20,0,-0.02015009,0,0,0.00060906,-0.00060906,0.00039519,-0.00039519,0.0005435,-0.0005435,0.00016922,-0.00016922,0.0003772,-0.0003772
1999,6,2,-0.00709821,-0.0307028,-0,-0.00709821,-0.00262108,-0.00447713,-0.00524978,-0.00184843,-0.00041815,-0.00668006,-0.00652062,-0.00057759,0.000255,-0.00735321
