year,month,MP_median_fed,MP_median_ecb,us_wuxia,sp500_a,bofaml_us_hyld_oas_a,eurusd_a,broadexea_usd_a,us_rgdp,us_gdpdef
2003,4,0,0.01744953,1.012946033,679.1228,7.0161905,-8.1277599,470.98019,948.74841,440.94781
2003,5,-0.05419007,0.05313504,1.27863508,684.13568,6.6318183,-14.671706,468.04047,948.79022,440.96072
2003,6,0.08893729,0.00038749,1.100385919,689.55975,6.3419046,-15.3762,467.57431,949.70313,441.07712
2003,7,0,0.00185791,0.937336726,689.99323,5.8569565,-12.851243,468.27603,950.22546,441.27255
2003,8,-0.01341392,0,0.735197156,689.71606,5.8385715,-10.769048,469.36966,950.74152,441.53012
2003,9,0.00908418,0.00209318,0.855586469,692.64337,5.3586364,-11.504089,468.2251,951.33075,441.80762
2003,10,-0.04175843,0.03069507,0.83359613,694.5719,4.9208694,-15.62958,466.5206,951.71588,441.93173
2003,11,0,-0.00078993,0.874236414,695.68262,4.6244998,-15.704845,466.31332,951.97357,442.11154
2003,12,0.02080512,0.00938841,0.740095505,698.51892,4.2800002,-20.574959,465.75311,952.13757,442.33301
2004,1,0.11613813,-0.01258779,0.752991181,703.24622,3.934762,-23.211382,464.18277,951.71448,442.64325
2004,2,0,-0.00171158,0.746520514,704.18073,4.2544999,-23.47389,464.81427,952.70129,442.87109
2004,3,-0.02679961,0.0121995,0.907943658,702.44666,4.4017391,-20.38624,465.3902,953.12769,443.08807
2004,4,0,0.04792183,0.869264847,703.28986,3.9752381,-18.103701,465.87906,953.02393,443.34869
2004,5,-0.01613196,0.01669241,1.067755461,700.62927,4.2509522,-18.286758,467.92712,953.83826,443.69061
2004,6,-0.02535742,-0.01018501,1.324804051,703.25397,4.0690908,-19.375374,466.92465,953.05072,443.9989
2004,7,0,0.00817246,1.438309423,700.91095,4.0113635,-20.418367,466.18817,954.23029,444.17841
2004,8,0.03887794,-0.00134677,1.626595493,699.28613,4.0813637,-19.683086,466.19971,954.24976,444.30804
2004,9,-0.01112546,0.01103846,1.926455934,701.88043,3.8736362,-20.028341,465.78909,954.15625,444.50531
2004,10,0,-0.00402774,2.080822269,701.92847,3.7319047,-22.22086,464.40454,955.03021,444.82443
2004,11,-0.01998175,-0.00038153,2.353133805,706.42572,3.2895455,-26.162378,461.93207,955.10382,445.15588
2004,12,-0.01083045,0.01714274,2.534879939,708.9776,3.1031818,-29.319315,461.29993,955.48987,445.31863
2005,1,0,-0.01746985,2.678211706,707.45569,3.2042856,-27.144903,461.57715,956.4433,445.57153
2005,2,-0.0071065,0.00818941,2.839358161,708.98285,3.0515001,-26.339212,461.67026,956.13409,445.8927
2005,3,0.04954658,-0.00871027,2.963444046,708.48462,2.9749999,-27.760931,461.19717,956.26587,446.19885
2005,4,0,0.00272581,3.076763411,705.98865,3.7619047,-25.755957,461.89642,956.42334,446.46735
