year,month,day,pc1ff1_hf,sp500_hf,d_pconf
2016,11,2,0.0018223,0.08383,0
2016,12,14,0.05582353,-0.61393984,1
2017,2,1,-0.02461152,0.18312,0
2017,3,15,-0.06118422,0.45609872,1
2017,5,3,0.01443671,0.02895,0
2017,6,14,0.02345072,-0.17504787,1
2017,7,26,-0.01457679,0.02219,0
2017,9,20,0.05124817,-0.00103897,1
2017,11,1,-0.00089308,0.08574,0
2017,12,13,-0.01884633,0.01339082,1
2018,1,31,0.00621328,-0.08058,0
2018,3,21,-0.02653441,-0.16227609,1
2018,5,2,-0.00922918,0.14705,0
2018,6,13,0.00606167,-0.3024205,1
2018,8,1,-0.00276033,0.02846,0
2018,9,26,-0.00241017,-0.49159557,1
2018,11,8,0.00817716,0.07201,0
2018,12,19,0.02941175,-2.12084943,1
2019,1,30,-0.04924939,0.82688729,1
2019,3,20,-0.02905677,0.20830787,1
2019,5,1,0.0284465,-0.58074035,1
2019,6,19,-0.14881864,0.53653732,1
